row height weight sex
184 162.89 73.7 female
185 166.4 73.78 female
186 160.18 86.78 female
187 160.71 95.93 female
188 168.88 88.01 male
189 162.76 89.17 other
190 161.58 59.74 male
191 169.95 86.48 other
192 166.29 92.55 female
193 161.71 90.59 female
194 162.57 81.35 female
195 162.75 87.27 female
196 169.27 87.64 other
197 169.96 86.61 male
198 170.4 82.74 male
199 162.8 59.47 female
200 168.56 68.12 male
201 169.75 86.16 male
202 170.12 97.06 male
203 162.14 74.27 female
204 164.19 67.33 female
205 170.55 81.56 male
206 162.89 73.69 female
207 169.97 73.58 male
208 169.33 104.17 male
209 165.39 86.57 female
210 170.38 86.04 male
211 169.41 91.87 male
212 160.74 74.13 female
213 168.16 90.6 male
214 168.94 90.88 other
215 171.23 79.09 female
216 170.86 85.48 male
217 169.31 91.99 male
218 167.4 86.68 male
219 160.38 59.3 female
220 160.85 97 other
221 166.61 93.82 male
222 165.57 87.56 male
223 164.24 51.71 female
224 167.75 60.07 male
225 169.47 95.91 female
226 170.45 81.45 male
227 169.22 86.88 male
228 162.75 62.88 other
229 164.82 67.42 female
230 162.21 77.79 female
231 170.38 86.26 male
232 165.62 92.13 female
233 163.12 52.06 female
234 162.9 57.84 female
235 169.75 96.12 male
236 165.71 92.77 female
237 161.57 79.7 male
238 160.77 81.66 female
239 165.38 86.47 male
240 164.09 93.93 female
241 169.44 91.46 male
242 165.52 87.26 female
243 170.24 90.64 male
244 165.99 53.19 female
245 165.49 87.94 female
246 161.37 80 female
247 164.72 94.63 female
248 169.7 89.92 male
249 168.68 84.6 male
250 162.11 78.91 female
251 162.57 73.29 female
252 165.81 67.26 female
253 165.84 68.13 female
254 161.97 100.59 male
255 162.89 72.62 female
256 170.98 95.36 male
257 165.62 92.17 male
258 170.6 92.87 male
259 162.48 82.24 female
260 170.04 91 male
261 162.42 77.54 female
262 170.93 77.44 male
263 163.7 70.49 female
264 170.3 92.21 male
265 170.04 87.02 male
266 162.78 102.38 other
267 167.65 86.03 male
268 169.53 96.35 other
269 171.3 96.2 other
270 167.36 87.67 male
271 162.19 90.99 other
272 162.83 77.48 female
273 162.91 58.18 female
274 168.16 63.48 male
275 170.01 90.01 other
276 169.45 85.36 male
277 163.7 70.49 female
278 162.89 92.89 other
279 165.26 76.92 other
280 163.1 102.87 female
281 169.1 90.81 male
282 170.4 86.06 male
283 163.53 69.88 female
284 166.61 103.19 other
285 168.78 69.24 male
286 161.49 89.18 female
287 160.87 92.68 female
288 170.77 77.11 male
289 171.83 81.88 male
290 160.83 97.01 female
291 166.53 88.27 male
292 162.89 72.65 female
293 170.58 93.24 male
294 169.78 88.01 male
295 168.85 95.23 male
296 170.63 95.59 male
297 163.33 92.93 female
298 162.16 78.82 female
299 171.07 95.34 male
300 164.59 87.84 female
301 169.45 81.67 male
302 163.28 77.41 female
303 171.3 83.88 male
304 169.53 71.56 male
305 169.22 86.51 other
306 162.49 88.46 female
307 170.23 74.63 male
308 170.38 88.18 male
309 171.48 84.11 male
310 165.33 94.51 female
311 161.58 78.92 female
312 169.21 84.85 male
313 163.34 77.34 female
314 171.2 79.42 male
315 162.04 73.59 female
316 166.4 92.98 female
317 169.09 91.8 male
318 165.49 92.55 female
319 162.88 73.56 female
320 163.19 103.63 female
321 161.4 79.15 female
322 161.52 90 female
323 163.72 94.12 female
324 172.07 82.87 male
325 167.42 86.59 female
326 164.42 67.27 female
327 161.65 50.27 female
328 161.72 60.62 female
329 169.76 90.57 male
330 167.8 94.41 male
331 164.27 87.38 female
332 171.33 96.19 male
333 165.74 67.58 female
334 164.53 76.22 female
335 162.75 56.41 male
336 168.47 66.12 male
337 165.72 94.21 male
338 168.26 63.88 male
339 167.33 94.29 male
340 161.87 79.27 female
341 168.88 90.34 male
342 170.34 88.76 male
343 166.35 73.92 female
344 160.82 93.07 female
345 170.43 86.91 male
346 169.23 104.21 male
347 169.75 88.78 male
348 160.67 93.85 female
349 168.06 88.98 male
350 160.24 88.94 female
351 164.48 67.26 female
352 160.09 85.33 female
353 170.28 91.61 other
354 168.14 90.29 male
355 170.09 87.47 male
356 170.36 100.18 male
357 162.25 78.67 female
358 160.77 50 female
359 170.04 91 male
360 162.29 91.17 female
361 168.2 94.93 male
362 165.19 65.45 female
363 169.82 73.04 male
364 168.43 93.39 male
365 172.4 84.59 male
366 162.82 77.48 female
367 170.3 97.63 male
368 165.84 88.05 female
369 170.85 82.27 other
370 162.86 57.16 female
371 168.58 68.39 male
372 169.24 89.44 male
373 169.2 89.94 male
374 169.99 90.59 other
375 169.1 90.81 male
376 170.03 73.41 other
377 163.35 76.07 female
378 162.16 91.62 female
379 162.42 51.53 other
380 170.91 82.68 male
381 163.55 65.55 male
382 163.68 65.94 female
383 164.69 104.21 female
384 162.56 81.55 female
385 168.96 91.31 male
386 167.92 61.28 male
387 166.62 55.36 male
388 160.75 94.65 female
389 162.56 88.8 female
390 168.19 91.14 male
391 171.59 96.25 male
392 171.31 95.34 male
393 165.61 62.86 female
394 161.63 99.07 other
395 170.04 90.96 other
396 164.04 87.49 female
397 162.7 77.49 other
398 161.05 59.75 female
399 164.43 87.98 female
400 162.42 91.42 other
401 172.74 89.93 other
402 172.76 89.23 male
403 160.03 51.82 female
404 167.23 87.87 male
405 170.63 88.97 male
406 166.02 66.92 other
407 170.3 88.24 other
408 161.44 74.16 female
409 170.02 90.1 female
410 170.91 86.1 male
411 165.16 88.27 female
412 170.37 99.98 male
413 168.3 85.82 male
414 168.76 83.78 male
415 166.23 74.28 female
416 164.38 88.02 female
417 163.23 64.09 male
418 160.25 89.04 female
419 161.66 79.57 female
420 165.52 62.76 female
421 160.94 80.99 female
422 168.12 103.4 male
423 168.28 92.41 male
424 171.64 95.41 male
425 169.85 103.47 male
426 170.24 92.66 male
427 172.06 82.82 female
428 160.31 51.21 female
429 161.63 50.85 male
430 168.43 68.24 other
431 169.25 82.55 female
432 168.49 67.97 male
433 168.87 88.57 male
434 162.76 57.06 female
435 169.95 86.63 other
436 165.62 63.19 other
437 165.69 87.32 male
438 171.84 81.95 male
439 160.91 59.69 female
440 163.07 52.07 female
441 162.88 59.61 female
442 170.79 82.16 male
443 163.62 88.16 female
444 168.87 88.57 male
445 168.96 91.42 male
446 165.54 94.28 female
447 170.93 83.58 female
448 169.94 91.69 male
449 163.38 74.29 other
450 163.43 87.41 female
451 170.03 86.93 other
452 160.74 81.7 male
453 169.31 86.66 male
454 172.76 89.14 male
455 160.58 59.84 female
456 162.77 89.23 female
457 169.95 86.48 male
458 170.3 86.11 male
459 169.07 95.66 male
460 162.66 61.01 male
461 169.25 92.22 other
462 172.76 89.05 male
463 170.04 87.02 male
464 163.39 71.72 female
465 164.01 94.52 female
466 163.69 69.41 female
467 170.06 88.68 male
468 169.99 89.71 male
469 160.53 50.9 female
470 168.97 91.55 male
471 170.32 92.2 male
472 162.17 89.79 female
473 170.69 83.56 other
474 163.06 78.15 female
475 170.79 88.13 other
476 170.83 87.77 male
477 170.6 76.28 male
478 170.03 90.56 male
479 165.31 89.04 female
480 162.18 78.8 female
481 162.46 82.52 female
482 172.25 83.47 male
483 164.74 52.58 male
484 170.38 87.83 male
485 166.86 93.46 female
486 169.72 90.4 male
487 169.31 86.51 male
488 168.53 68.51 male
489 168.55 85.14 male
490 160.79 95.86 female
491 170.52 81.51 male
492 169.9 81.6 male
493 172.26 83.53 male
494 170.59 89.74 male
495 163.39 65.07 female
496 170.31 87.84 male
497 166.57 73.3 male
498 163.75 77.34 female
499 163.04 77.46 female
500 163.79 77.2 female
501 170.36 91.26 male
502 161.24 74.1 female
503 172.43 93.52 male
504 170.43 86.4 male
505 164.81 94.42 female
506 168.27 92.26 male
507 162.77 73.93 female
508 162.28 84.58 female
509 161.83 51.12 female
510 172.62 90.95 male
511 169.38 103.4 male
512 170.55 96.56 male
513 170.85 95.88 male
514 169.22 85.26 other
515 166.12 75.5 female
516 161.44 74.16 female
517 172.35 84.21 male
518 170.23 90.47 male
519 168.12 89.88 male
520 169.14 85.37 female
521 164.45 87.97 female
522 160 51.75 female
523 172.39 84.69 male
524 162.09 51.56 male
525 165.78 88.89 female
526 162.88 87.21 male
527 166.58 87.6 male
528 165.35 65.7 female
529 165.3 86.49 female
530 163.63 65.78 female
531 164.32 104.7 female
532 165.41 86.71 female
533 161.35 90.94 female
534 162.12 101.14 female
535 162.82 60.77 female
536 161.43 89.25 female
537 170.27 101.38 female
538 170.25 82.14 male
539 172.75 89.89 male
540 171.05 95.35 male
541 168.36 92.99 male
542 162.35 85.24 female
543 169.72 88.69 male
544 162.64 73.29 male
545 172.74 89.92 male
546 166.14 92.76 other
547 168.24 64.07 male
548 160.19 87.43 female
549 164.32 88.07 female
550 170.03 89.39 male
551 168.44 67.14 male
552 164.71 52.55 female
553 162.67 77.49 other
554 166.2 53.63 female
555 162.78 57.85 male
556 170.37 81.09 other
557 165.7 88.16 female
558 164.8 67.48 female
559 170.42 88.16 other
560 163.97 93.92 female
561 171.71 80.97 female
562 163.38 77.29 female
563 169.71 102.99 other
564 163.04 92.49 female
565 164.57 67.07 other
566 162.55 81.59 female
567 163.79 77.2 male
568 165.6 89.6 female
569 165.31 65.86 female
570 170.34 100.59 male
571 168.01 95.18 male
572 165.71 53.38 female
573 161.74 73.53 female
574 162.42 51.53 female
575 168.93 88.45 male
576 166.38 73.85 female
577 164.44 68.21 female
578 168.5 68.13 male
579 169.99 89.78 male
580 162.42 89.01 female
581 166.05 88.89 female
582 162.62 102.55 female
583 164.96 66.14 female
584 162.77 73.9 female
585 170.91 77.3 female
586 165.62 63.08 other
587 170.24 92.62 male
588 169.04 91.76 male
589 171.26 84.17 other
590 162.04 100.83 female
591 160.24 50.43 female
592 163.25 74.87 female
593 169.7 90.08 male
594 170.65 93.18 male
595 170.02 90.47 other
596 161.21 89.85 other
597 160.23 50.43 female
598 172.73 89.89 male
599 167.05 56.52 male
600 165.09 87.84 female
